date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths
2020-03-11,202011,4064052.0,4018650.0,False,False,1,0.02461,2020-03-11,0.0,0,7,state,ES,0,0
2020-03-11,202011,21292666.0,21168791.0,False,False,1,0.0047,2020-03-11,0.0,0,4,state,MG,0,0
2020-03-11,202011,17366189.0,17264943.0,False,True,3,0.017269999999999997,2020-03-08,0.0,0,7,state,RJ,0,0
2020-03-11,202011,11422973.0,11377239.0,False,False,2,0.017509999999999998,2020-03-11,0.0,0,2,state,RS,1,0
2020-03-11,202011,46289333.0,45919049.0,False,False,30,0.06481,2020-03-11,0.0,0,16,state,SP,11,0
2020-03-12,202011,3351543.0,3337357.0,False,False,1,0.02984,2020-03-12,0.0,0,5,state,AL,0,0
2020-03-12,202011,14930634.0,14873064.0,False,False,3,0.02009,2020-03-12,0.0,0,7,state,BA,0,0
2020-03-12,202011,3055149.0,3015268.0,False,False,2,0.06546,2020-03-12,0.0,0,6,state,DF,0,0
2020-03-12,202011,4064052.0,4018650.0,False,False,2,0.049210000000000004,2020-03-12,0.0,0,8,state,ES,1,0
2020-03-12,202011,7113540.0,7018354.0,False,False,3,0.04217,2020-03-12,0.0,0,1,state,GO,3,0
2020-03-12,202011,21292666.0,21168791.0,False,False,2,0.00939,2020-03-12,0.0,0,5,state,MG,1,0
2020-03-12,202011,4039277.0,4018127.0,False,False,0,,2020-03-12,0.0,0,1,state,PB,0,0
2020-03-12,202011,9616621.0,9557071.0,False,False,2,0.0208,2020-03-12,0.0,0,1,state,PE,2,0
2020-03-12,202011,11516840.0,11433957.0,False,False,6,0.0521,2020-03-12,0.0,0,1,state,PR,6,0
2020-03-12,202011,17366189.0,17264943.0,False,False,15,0.08637,2020-03-12,0.0,0,8,state,RJ,12,0
2020-03-12,202011,3534165.0,3506853.0,False,False,1,0.0283,2020-03-12,0.0,0,1,state,RN,1,0
2020-03-12,202011,11422973.0,11377239.0,False,False,4,0.035019999999999996,2020-03-12,0.0,0,3,state,RS,2,0
2020-03-12,202011,7252502.0,7164788.0,False,False,2,0.02758,2020-03-12,0.0,0,1,state,SC,2,0
2020-03-12,202011,46289333.0,45919049.0,False,False,46,0.09937,2020-03-12,0.0,0,17,state,SP,16,0
2020-03-13,202011,3351543.0,3337357.0,False,False,1,0.02984,2020-03-13,0.0,0,6,state,AL,0,0
2020-03-13,202011,4207714.0,4144597.0,False,False,2,0.04753,2020-03-13,0.0,0,1,state,AM,2,0
2020-03-13,202011,14930634.0,14873064.0,False,False,7,0.04688,2020-03-13,0.0,0,8,state,BA,4,0
2020-03-13,202011,3055149.0,3015268.0,False,False,2,0.06546,2020-03-13,0.0,0,7,state,DF,0,0
2020-03-13,202011,4064052.0,4018650.0,False,False,2,0.049210000000000004,2020-03-13,0.0,0,9,state,ES,0,0
2020-03-13,202011,7113540.0,7018354.0,False,False,3,0.04217,2020-03-13,0.0,0,2,state,GO,0,0
2020-03-13,202011,21292666.0,21168791.0,False,False,2,0.00939,2020-03-13,0.0,0,6,state,MG,0,0
2020-03-13,202011,4039277.0,4018127.0,False,False,0,,2020-03-13,0.0,0,2,state,PB,0,0
2020-03-13,202011,9616621.0,9557071.0,False,False,2,0.0208,2020-03-13,0.0,0,2,state,PE,0,0
2020-03-13,202011,11516840.0,11433957.0,False,False,6,0.0521,2020-03-13,0.0,0,2,state,PR,0,0
2020-03-13,202011,17366189.0,17264943.0,False,True,15,0.08637,2020-03-12,0.0,0,9,state,RJ,0,0
2020-03-13,202011,3534165.0,3506853.0,False,False,1,0.0283,2020-03-13,0.0,0,2,state,RN,0,0
2020-03-13,202011,11422973.0,11377239.0,False,False,4,0.035019999999999996,2020-03-13,0.0,0,4,state,RS,0,0
2020-03-13,202011,7252502.0,7164788.0,False,False,3,0.04137,2020-03-13,0.0,0,2,state,SC,1,0
2020-03-13,202011,46289333.0,45919049.0,False,True,46,0.09937,2020-03-12,0.0,0,18,state,SP,0,0
